,Answer,Comment 1,Comment 2,Comment 3,Link,Question,Time,UpVotes
10,"
Try this, it should work:
 python.exe -m pip install --upgrade https://storage.googleapis.com/tensorflow/mac/cpu/tensorflow-0.12.0-py3-none-any.whl

",null,null,null,https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Jan 7 '18,8
11,"
Try this:
export TF_BINARY_URL=https://storage.googleapis.com/tensorflow/mac/cpu/tensorflow-0.12.1-py3-none-any.whl
pip3 install --upgrade $TF_BINARY_URL

Source: https://www.tensorflow.org/get_started/os_setup (page no longer exists)
Update 2/23/17
Documentation moved to: https://www.tensorflow.org/install
",null,null,null,https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Feb 23 '17,7
12,"

Install python by checking Add Python to Path
pip3 install --upgrade https://storage.googleapis.com/tensorflow/mac/cpu/tensorflow-0.12.0-py3-none-any.whl

This works for windows 10.0
",null,null,null,https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Apr 9 '17,7
13,"
If you run into this issue recently (say, after Python 3.7 release in 2018), most likely this is caused by the lack of Python 3.7 support (yet) from the tensorflow side. Try using Python 3.6 instead if you don't mind. There are some tricks you can find from https://github.com/tensorflow/tensorflow/issues/20444, but use them at your own risk. I used the one harpone suggested - first downloaded the tensorflow wheel for Python 3.6 and then renamed it manually...
cp tensorflow-1.11.0-cp36-cp36m-linux_x86_64.whl tensorflow-1.11.0-cp37-cp37m-linux_x86_64.whl
pip install tensorflow-1.11.0-cp37-cp37m-linux_x86_64.whl

The good news is that there is a pull request for 3.7 support already. Hope it will be released soon.
",null,null,null,https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Nov 5 '18,7
14,"
I had the same problem. After uninstalling the 32-bit version of python and reinstalling the 64-bit version I tried reinstalling TensorFlow and it worked.
Link to TensorFlow guide: https://www.tensorflow.org/install/install_windows
","
yes, the 64-bit version fixed it. The install from the main download page is a 32-bit. The link above provides a URL to the 64 bit version.
                
                    – Vladan
Mar 20 '18 at 18:23
",null,null,https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Apr 21 '17,6
15,"
If you're trying to install tensorflow in anaconda and it isn't working, then you may need to downgrade python version because only 3.6.x is currently supported while anaconda has the latest version.

check python version: python --version
if version > 3.6.x then follow step 3, otherwise stop, the problem may be somewhere else
conda search python
conda install python=3.6.6
Check version again: python --version
If version is correct, install tensorflow (step 7)
pip install tensorflow

",null,null,null,https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Sep 30 '18,6
16,"
If you are using the Anaconda Python installation, pip install tensorflow will give the error stated above, shown below:
Collecting tensorflow
Could not find a version that satisfies the requirement tensorflow (from versions: )
No matching distribution found for tensorflow

According to the TensorFlow installation page, you will need to use the --ignore-installed flag when running pip install. 
However, before this can be done see this link
to ensure the TF_BINARY_URL variable is set correctly in relation to the desired version of TensorFlow that you wish to install.
",null,null,null,https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Jan 19 '17,4
17,"
Unfortunately my reputation is to low to command underneath @Sujoy answer.
In their docs they claim to support python 3.6.
The link provided by @mayur shows that their is indeed only a python3.5 wheel package. This is my try to install tensorflow:
Microsoft Windows [Version 10.0.16299.371]
(c) 2017 Microsoft Corporation. All rights reserved.

C:\>python3 -m pip install --upgrade pip
Requirement already up-to-date: pip in d:\python\v3\lib\site-packages (10.0.0)

C:\>python3 -m pip -V
pip 10.0.0 from D:\Python\V3\lib\site-packages\pip (python 3.6)

C:\>python3 -m pip install --upgrade tensorflow
Collecting tensorflow
Could not find a version that satisfies the requirement tensorflow (from versions: )
No matching distribution found for tensorflow

while python 3.5 seems to install successfully. I would love to see a python3.6 version since they claim it should also work on python3.6.
Quoted :
""TensorFlow supports Python 3.5.x and 3.6.x on Windows. Note that Python 3 comes with the pip3 package manager, which is the program you'll use to install TensorFlow.""
Source : https://www.tensorflow.org/install/install_windows
Python3.5 install :
Microsoft Windows [Version 10.0.16299.371]
(c) 2017 Microsoft Corporation. All rights reserved.

C:\>python3 -m pip install --upgrade pip
Requirement already up-to-date: pip in d:\python\v3\lib\site-packages (10.0.0)

C:\>python3 -m pip -V
pip 10.0.0 from D:\Python\V3_5\lib\site-packages\pip (python 3.5.2)

C:\>python3 -m pip install --upgrade tensorflow
Collecting tensorflow
  Downloading 
    ....
    ....

I hope i am terrible wrong here but if not ring a alarm bell 😛 
Edit:
A couple of posts below someone pointed out that the following command would work and it did.
python3 -m pip install --upgrade https://storage.googleapis.com/tensorflow/mac/cpu/tensorflow-0.12.0-py3-none-any.whl

Strange pip is not working 🤔
",null,null,null,https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Apr 18 '18,4
18,"
This worked for me with Python 2.7 on Mac OS X Yosemite 10.10.5:
sudo pip install --upgrade https://storage.googleapis.com/tensorflow/mac/tensorflow-0.5.0-py2-none-any.whl

",null,null,null,https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Mar 11 '17,3
19,"
There are multiple groups of answers to this question. This answer aims to generalize one group of answers:
There may not be a version of TensorFlow that is compatible with your version of Python. This is particularly true if you're using a new release of Python. For example, there may be a delay between the release of a new version of Python and the release of TensorFlow for that version of Python.
In this case, I believe your options are to:
1) Downgrade to the previous version of Python.
2) Compile TensorFlow from the source code.
3) Wait for a matching version of TensorFlow.
",null,null,null,https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Oct 25 '19,3
20,"
For windows this worked for me,
Download the wheel from this link. Then from command line navigate to your download folder where the wheel is present and simply type in the following command - 
pip install tensorflow-1.0.0-cp36-cp36m-win_amd64.whl
",null,null,null,https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Feb 26 '17,2
21,"
I was facing the same issue. I tried the following and it worked.
installing for Mac OS X, anaconda python 2.7
pip uninstall tensorflow
export TF_BINARY_URL=<get the correct url from http://tflearn.org/installation/>
pip install --upgrade $TF_BINARY_URL

Installed tensorflow-1.0.0
",null,null,null,https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Mar 23 '17,2
22,"

Start Command Prompt with Administrative Permission
Enter following command     python -m pip install --upgrade pip
Next Enter command pip install tensorflow

","
error: Fatal error in launcher: Unable to create process using '""'
                
                    – DJ Howarth
Oct 10 '17 at 14:44
",null,null,https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Jun 4 '17,2
23,"
The URL to install TensorFlow in Windows, below is the URL. It worked fine for me.
python -m pip install --upgrade https://storage.googleapis.com/tensorflow/mac/cpu/tensorflow-0.12.0-py3-none-any.whl

",null,null,null,https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Aug 16 '17,2
24,"
For pyCharm users:

Check pip version:
pip3 -V
If pip is older than 9.0.1:
py -3 -m pip install --upgrade pip
Then:
**py -3 -m pip install --upgrade

https://storage.googleapis.com/tensorflow/mac/cpu/tensorflow-0.12.0-py3-none-any.whl**
",null,null,null,https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Mar 13 '18,2
25,"
Following steps allows you to install tensorflow and keras

downloading Anaconda3-5.2.0 which comes with python 3.6 from https://repo.anaconda.com/archive/
Install Anaconda and open Anaconda Prompt and execute below commands 

conda install jupyter 
conda install scipy
pip install sklearn
pip install msgpack
pip install pandas
pip install pandas-datareader
pip install matplotlib 
pip install pillow
pip install requests
pip install h5py
pip install tensorflow
pip install keras


","
The question is about standard Python and just tensorflow.
                
                    – ivan_pozdeev
May 10 '19 at 9:16
",null,null,https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Dec 23 '18,2
26,"
update 2019:
for install the preview version of TensorFlow 2 in Google Colab you can use: 
!wget https://developer.nvidia.com/compute/cuda/10.0/Prod/local_installers/cuda-repo-ubuntu1604-10-0-local-10.0.130-410.48_1.0-1_amd64 -O cuda-repo-ubuntu1604-10-0-local-10.0.130-410.48_1.0-1_amd64.deb
!dpkg -i cuda-repo-ubuntu1604-10-0-local-10.0.130-410.48_1.0-1_amd64.deb
!apt-key add /var/cuda-repo-10-0-local-10.0.130-410.48/7fa2af80.pub
!apt-get update
!apt-get install cuda
!pip install tf-nightly-gpu-2.0-preview
and for install the TensorFlow 2 bye pip you can use :
 pip install tf-nightly-gpu-2.0-preview for GPU and
 pip install tf-nightly-2.0-preview 
for CPU. 
","
Thank you for the reminder to try the nightly tensorflow (unstable) version. That worked for me.
                
                    – Matthew Redmond
Nov 9 '19 at 18:11
",null,null,https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Jan 17 '19,2
27,"
I had this problem on OSX Sierra 10.12.2. It turns out I had the wrong version of Python installed (I had Python 3.4 but tensorflow pypi packages for OSX are only for python 3.5 and up). 
The solution was to install Python 3.6. Here's what I did to get it working. Note: I used Homebrew to install Python 3.6, you could do the same by using the Python 3.6 installer on python.org
brew uninstall python3
brew install python3
python3 --version # Verify that you see ""Python 3.6.0""
pip install tensorflow # With python 3.6 the install succeeds
pip install jupyter # ""ipython notebook"" didn't work for me until I installed jupyter
ipython notebook # Finally works!

",null,null,null,https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Jan 22 '17,1
28,"
Excerpt from tensorflow website
https://www.tensorflow.org/install/install_windows

Installing with native pip
If the following version of Python is not installed on your machine, install it now:
Python 3.5.x from python.org
  TensorFlow only supports version 3.5.x of Python on Windows. Note that Python 3.5.x comes with the pip3 package manager, which is the program you'll use to install TensorFlow.
To install TensorFlow, start a terminal. Then issue the appropriate pip3 install command in that terminal. To install the CPU-only version of TensorFlow, enter the following command:

C:\> pip3 install --upgrade tensorflow
To install the GPU version of TensorFlow, enter the following command:

C:\> pip3 install --upgrade tensorflow-gpu

","
any reason behind down-voting?
                
                    – Ravinder Payal
Apr 22 '17 at 10:56
",null,null,https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Mar 12 '17,1
29,"
If your command pip install --upgrade tensorflowcompiles, then your version of tensorflow should be the newest. I personally prefer to use anaconda. You can easily install and upgrade tensorflow as follows:
 conda install -c conda-forge tensorflow  # to install
 conda upgrade -c conda-forge tensorflow  # to upgrade

Also if you want to use it with your GPU you have an easy install:
 conda install -c anaconda tensorflow-gpu

I've been using it for a while now and I have never had any problem.
",null,null,null,https://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip&sa=U&ved=2ahUKEwjx04HK0o_oAhUkCqYKHZ2qDBkQFjAAegQIARAB&usg=AOvVaw0HcJUES-BxqpuSwSAOLCz,TensorFlow not found using pip,Feb 22 '18,1
